LocationID,Borough,Zone,service_zone,zone1,zone2
1,EWR,Newark Airport,EWR,Newark Airport,null
2,Queens,Jamaica Bay,Boro Zone,Jamaica Bay,null
3,Bronx,Allerton/Pelham Gardens,Boro Zone,Allerton,Pelham Gardens
4,Manhattan,Alphabet City,Yellow Zone,Alphabet City,null
5,Staten Island,Arden Heights,Boro Zone,Arden Heights,null
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,Arrochar,Fort Wadsworth
7,Queens,Astoria,Boro Zone,Astoria,null
8,Queens,Astoria Park,Boro Zone,Astoria Park,null
9,Queens,Auburndale,Boro Zone,Auburndale,null
10,Queens,Baisley Park,Boro Zone,Baisley Park,null
11,Brooklyn,Bath Beach,Boro Zone,Bath Beach,null
12,Manhattan,Battery Park,Yellow Zone,Battery Park,null
13,Manhattan,Battery Park City,Yellow Zone,Battery Park City,null
14,Brooklyn,Bay Ridge,Boro Zone,Bay Ridge,null
15,Queens,Bay Terrace/Fort Totten,Boro Zone,Bay Terrace,Fort Totten
16,Queens,Bayside,Boro Zone,Bayside,null
17,Brooklyn,Bedford,Boro Zone,Bedford,null
18,Bronx,Bedford Park,Boro Zone,Bedford Park,null
19,Queens,Bellerose,Boro Zone,Bellerose,null
20,Bronx,Belmont,Boro Zone,Belmont,null
21,Brooklyn,Bensonhurst East,Boro Zone,Bensonhurst East,null
22,Brooklyn,Bensonhurst West,Boro Zone,Bensonhurst West,null
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,Bloomfield,Emerson Hill
24,Manhattan,Bloomingdale,Yellow Zone,Bloomingdale,null
25,Brooklyn,Boerum Hill,Boro Zone,Boerum Hill,null
26,Brooklyn,Borough Park,Boro Zone,Borough Park,null
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,Breezy Point,Fort Tilden
28,Queens,Briarwood/Jamaica Hills,Boro Zone,Briarwood,Jamaica Hills
29,Brooklyn,Brighton Beach,Boro Zone,Brighton Beach,null
30,Queens,Broad Channel,Boro Zone,Broad Channel,null
31,Bronx,Bronx Park,Boro Zone,Bronx Park,null
32,Bronx,Bronxdale,Boro Zone,Bronxdale,null
33,Brooklyn,Brooklyn Heights,Boro Zone,Brooklyn Heights,null
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,Brooklyn Navy Yard,null
35,Brooklyn,Brownsville,Boro Zone,Brownsville,null
36,Brooklyn,Bushwick North,Boro Zone,Bushwick North,null
37,Brooklyn,Bushwick South,Boro Zone,Bushwick South,null
38,Queens,Cambria Heights,Boro Zone,Cambria Heights,null
39,Brooklyn,Canarsie,Boro Zone,Canarsie,null
40,Brooklyn,Carroll Gardens,Boro Zone,Carroll Gardens,null
41,Manhattan,Central Harlem,Boro Zone,Central Harlem,null
42,Manhattan,Central Harlem North,Boro Zone,Central Harlem North,null
43,Manhattan,Central Park,Yellow Zone,Central Park,null
44,Staten Island,Charleston/Tottenville,Boro Zone,Charleston,Tottenville
45,Manhattan,Chinatown,Yellow Zone,Chinatown,null
46,Bronx,City Island,Boro Zone,City Island,null
47,Bronx,Claremont/Bathgate,Boro Zone,Claremont,Bathgate
48,Manhattan,Clinton East,Yellow Zone,Clinton East,null
49,Brooklyn,Clinton Hill,Boro Zone,Clinton Hill,null
50,Manhattan,Clinton West,Yellow Zone,Clinton West,null
51,Bronx,Co-Op City,Boro Zone,Co-Op City,null
52,Brooklyn,Cobble Hill,Boro Zone,Cobble Hill,null
53,Queens,College Point,Boro Zone,College Point,null
54,Brooklyn,Columbia Street,Boro Zone,Columbia Street,null
55,Brooklyn,Coney Island,Boro Zone,Coney Island,null
56,Queens,Corona,Boro Zone,Corona,null
57,Queens,Corona,Boro Zone,Corona,null
58,Bronx,Country Club,Boro Zone,Country Club,null
59,Bronx,Crotona Park,Boro Zone,Crotona Park,null
60,Bronx,Crotona Park East,Boro Zone,Crotona Park East,null
61,Brooklyn,Crown Heights North,Boro Zone,Crown Heights North,null
62,Brooklyn,Crown Heights South,Boro Zone,Crown Heights South,null
63,Brooklyn,Cypress Hills,Boro Zone,Cypress Hills,null
64,Queens,Douglaston,Boro Zone,Douglaston,null
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,Downtown Brooklyn,MetroTech
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,DUMBO,Vinegar Hill
67,Brooklyn,Dyker Heights,Boro Zone,Dyker Heights,null
68,Manhattan,East Chelsea,Yellow Zone,East Chelsea,null
69,Bronx,East Concourse/Concourse Village,Boro Zone,East Concourse,Concourse Village
70,Queens,East Elmhurst,Boro Zone,East Elmhurst,null
71,Brooklyn,East Flatbush/Farragut,Boro Zone,East Flatbush,Farragut
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,East Flatbush,Remsen Village
73,Queens,East Flushing,Boro Zone,East Flushing,null
74,Manhattan,East Harlem North,Boro Zone,East Harlem North,null
75,Manhattan,East Harlem South,Boro Zone,East Harlem South,null
76,Brooklyn,East New York,Boro Zone,East New York,null
77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,East New York,Pennsylvania Avenue
78,Bronx,East Tremont,Boro Zone,East Tremont,null
79,Manhattan,East Village,Yellow Zone,East Village,null
80,Brooklyn,East Williamsburg,Boro Zone,East Williamsburg,null
81,Bronx,Eastchester,Boro Zone,Eastchester,null
82,Queens,Elmhurst,Boro Zone,Elmhurst,null
83,Queens,Elmhurst/Maspeth,Boro Zone,Elmhurst,Maspeth
84,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,Eltingville,Annadale
85,Brooklyn,Erasmus,Boro Zone,Erasmus,null
86,Queens,Far Rockaway,Boro Zone,Far Rockaway,null
87,Manhattan,Financial District North,Yellow Zone,Financial District North,null
88,Manhattan,Financial District South,Yellow Zone,Financial District South,null
89,Brooklyn,Flatbush/Ditmas Park,Boro Zone,Flatbush,Ditmas Park
90,Manhattan,Flatiron,Yellow Zone,Flatiron,null
91,Brooklyn,Flatlands,Boro Zone,Flatlands,null
92,Queens,Flushing,Boro Zone,Flushing,null
93,Queens,Flushing Meadows-Corona Park,Boro Zone,Flushing Meadows-Corona Park,null
94,Bronx,Fordham South,Boro Zone,Fordham South,null
95,Queens,Forest Hills,Boro Zone,Forest Hills,null
96,Queens,Forest Park/Highland Park,Boro Zone,Forest Park,Highland Park
97,Brooklyn,Fort Greene,Boro Zone,Fort Greene,null
98,Queens,Fresh Meadows,Boro Zone,Fresh Meadows,null
99,Staten Island,Freshkills Park,Boro Zone,Freshkills Park,null
100,Manhattan,Garment District,Yellow Zone,Garment District,null
101,Queens,Glen Oaks,Boro Zone,Glen Oaks,null
102,Queens,Glendale,Boro Zone,Glendale,null
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,Governor's Island,Ellis Island
104,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,Governor's Island,Ellis Island
105,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,Governor's Island,Ellis Island
106,Brooklyn,Gowanus,Boro Zone,Gowanus,null
107,Manhattan,Gramercy,Yellow Zone,Gramercy,null
108,Brooklyn,Gravesend,Boro Zone,Gravesend,null
109,Staten Island,Great Kills,Boro Zone,Great Kills,null
110,Staten Island,Great Kills Park,Boro Zone,Great Kills Park,null
111,Brooklyn,Green-Wood Cemetery,Boro Zone,Green-Wood Cemetery,null
112,Brooklyn,Greenpoint,Boro Zone,Greenpoint,null
113,Manhattan,Greenwich Village North,Yellow Zone,Greenwich Village North,null
114,Manhattan,Greenwich Village South,Yellow Zone,Greenwich Village South,null
115,Staten Island,Grymes Hill/Clifton,Boro Zone,Grymes Hill,Clifton
116,Manhattan,Hamilton Heights,Boro Zone,Hamilton Heights,null
117,Queens,Hammels/Arverne,Boro Zone,Hammels,Arverne
118,Staten Island,Heartland Village/Todt Hill,Boro Zone,Heartland Village,Todt Hill
119,Bronx,Highbridge,Boro Zone,Highbridge,null
120,Manhattan,Highbridge Park,Boro Zone,Highbridge Park,null
121,Queens,Hillcrest/Pomonok,Boro Zone,Hillcrest,Pomonok
122,Queens,Hollis,Boro Zone,Hollis,null
123,Brooklyn,Homecrest,Boro Zone,Homecrest,null
124,Queens,Howard Beach,Boro Zone,Howard Beach,null
125,Manhattan,Hudson Sq,Yellow Zone,Hudson Sq,null
126,Bronx,Hunts Point,Boro Zone,Hunts Point,null
127,Manhattan,Inwood,Boro Zone,Inwood,null
128,Manhattan,Inwood Hill Park,Boro Zone,Inwood Hill Park,null
129,Queens,Jackson Heights,Boro Zone,Jackson Heights,null
130,Queens,Jamaica,Boro Zone,Jamaica,null
131,Queens,Jamaica Estates,Boro Zone,Jamaica Estates,null
132,Queens,JFK Airport,Airports,JFK Airport,null
133,Brooklyn,Kensington,Boro Zone,Kensington,null
134,Queens,Kew Gardens,Boro Zone,Kew Gardens,null
135,Queens,Kew Gardens Hills,Boro Zone,Kew Gardens Hills,null
136,Bronx,Kingsbridge Heights,Boro Zone,Kingsbridge Heights,null
137,Manhattan,Kips Bay,Yellow Zone,Kips Bay,null
138,Queens,LaGuardia Airport,Airports,LaGuardia Airport,null
