VendorID,PULocationID,DOLocationID,fareamount,total_amount
2,82,196,null,16
2,7,7,null,-9
2,7,7,null,9
2,166,74,null,16.68
2,236,229,null,25.02
2,75,235,null,29.8
2,260,160,null,24.24
2,95,264,null,37
2,244,41,null,24.44
2,83,7,null,15.84
2,223,223,null,9.12
2,260,260,null,10.8
2,82,193,null,22.3
2,146,145,null,-8.3
2,146,145,null,8.3
2,130,191,null,25.92
2,95,134,null,13.9
2,74,152,null,15.84
2,95,173,null,20.88
2,210,155,null,23.7
2,260,82,null,14.43
1,82,82,null,10.8
2,82,82,null,11.1
2,179,179,null,10.3
2,130,139,null,27.9
2,127,119,null,27.8
2,75,247,null,17.4
2,83,186,null,43.75
1,216,41,null,53.55
2,83,124,null,42.72
2,75,41,null,14.16
2,244,220,null,26.2
2,92,121,null,23.4
1,43,229,null,26.7
2,83,28,null,45.2
2,260,82,null,16
2,129,83,null,12.5
2,193,95,null,34.9
2,95,160,null,16
2,192,192,null,201
2,75,75,null,9.71
2,75,41,null,13.32
2,41,41,null,6.2
2,129,7,null,18.98
2,82,216,null,53.1
2,82,82,null,10
2,7,179,null,10.79
2,75,263,null,16.77
1,74,41,null,20
1,41,116,null,17.4
2,75,239,null,20.82
2,75,116,null,22.56
2,42,42,null,7.6
2,97,17,null,17.4
2,83,82,null,13.32
2,129,265,null,94.68
2,129,82,null,14.6
2,129,226,null,23
2,129,129,null,14.43
2,7,162,null,28.38
2,82,7,null,15.3
2,82,160,null,18.1
2,179,7,null,8.28
2,33,186,null,35.75
2,75,75,null,9.96
2,82,82,null,11.1
2,42,164,null,52.59
2,244,116,null,9.96
2,129,173,null,14.6
2,260,173,null,10
2,260,157,null,13.2
2,95,134,null,14.8
2,129,129,null,9.7
2,129,260,null,8.3
2,129,82,null,22.3
2,82,82,null,46.1
2,62,80,null,26.8
2,264,264,null,22
2,82,82,null,11.8
2,82,83,null,11.8
2,127,42,null,15.8
2,129,129,null,8.3
2,82,82,null,8.3
2,75,75,null,10.4
2,173,56,null,11.8
2,260,260,null,12.61
2,129,70,null,15.3
1,122,260,null,39
2,82,226,null,15.3
1,82,82,null,11
2,247,127,null,24.3
2,226,129,null,17.4
2,129,24,null,49.15
2,179,164,null,34.35
2,260,102,null,36.3
1,222,140,null,58
2,95,140,null,48.85
1,69,166,null,21
1,41,138,null,40.15
2,226,226,null,13.32
1,61,142,null,41
2,41,141,null,25.65
2,91,162,null,94.31
2,74,41,null,9.7
1,92,53,null,16
1,74,236,null,16.35
2,74,238,null,21.15
1,74,236,null,15.85
1,75,142,null,46.5
2,74,75,null,13.13
2,74,75,null,12.96
2,74,141,null,25.81
2,42,166,null,13.6
2,74,41,null,12.12
2,74,74,null,10.1
2,74,42,null,11.1
2,74,244,null,26.4
2,92,129,null,36.7
2,74,43,null,10.1
1,166,226,null,27
2,215,86,null,39.5
2,74,140,null,27.18
2,82,138,null,27.6
2,243,136,null,24.6
1,259,25,null,65.55
2,75,75,null,9.31
2,75,68,null,28.86
2,74,74,null,13.8
2,55,14,null,25.5
